,event,time,Factory,Provider,T0,V1,V2,V3
0,True,323.9,1.0,0.0,-9.628,10.354,89.72368815893958,0.963
1,True,349.3,2.0,0.0,-7.152,-6.66,-300.6447633554803,0.651
2,True,255.8,1.0,0.0,-12.403,3.696,126.76929980643997,0.874
3,True,558.3,1.0,0.0,-8.834,3.166,-186.54853003912933,1.119
4,True,667.5,0.0,1.0,-10.622,-4.312,426.1912379466744,0.826
5,True,669.8000000000001,2.0,0.0,-6.354,-9.086,-989.3771800640616,0.583
6,True,591.9,2.0,0.0,-7.703,-11.024,376.6797345353492,1.142
7,False,458.4,2.0,1.0,-4.3,-5.382,329.44733347416155,1.134
8,False,345.90000000000003,0.0,1.0,-9.484,-9.528,108.42672829216593,1.074
9,True,1162.4,2.0,1.0,-6.893,-6.364,-547.0354777207257,1.103
10,True,40.4,1.0,1.0,-11.574,12.486,19.144401815545052,1.046
11,True,320.90000000000003,1.0,0.0,-12.76,3.14,-90.4512002311213,1.029
12,True,888.5,2.0,1.0,-7.744,0.364,-190.465226207305,0.865
13,False,140.0,2.0,1.0,-6.614,-0.426,-27.929707020581485,1.155
14,True,492.2,1.0,0.0,-10.241,8.842,-7.852033627369394,0.764
15,True,296.1,1.0,1.0,-6.908,9.794,-522.9021002154598,1.023
16,True,35.8,1.0,0.0,-9.816,-0.284,28.87564827434012,0.723
17,False,531.5999999999999,0.0,1.0,-10.74,-11.586,-835.4921658715834,0.828
18,True,581.1,0.0,0.0,-12.234,1.25,-22.850477781765985,0.827
19,False,516.1999999999999,2.0,1.0,-6.318,-5.572,41.50968763035877,0.924
20,False,615.2,2.0,0.0,-6.9,-8.094,-902.3053782092221,0.709
21,True,371.9,2.0,1.0,-6.274,-6.472,240.40757806022353,1.152
22,True,506.0,1.0,0.0,-11.449,-0.242,544.5537664962977,0.909
23,True,351.2,2.0,1.0,-5.591,-5.368,-51.0929597297132,1.104
24,True,513.5,0.0,0.0,-12.567,3.714,579.802715773369,0.859
25,True,314.7,1.0,0.0,-13.21,12.676,59.9735264263296,0.704
26,True,655.1999999999999,0.0,1.0,-13.458,-12.312,1121.245025471372,1.123
27,False,199.4,1.0,1.0,-9.063,6.01,63.60270280608377,1.079
28,True,540.1,1.0,0.0,-11.1,2.99,-11.862034198450893,0.996
29,True,372.0,1.0,0.0,-9.542,9.526,826.5952008262318,1.005
30,True,8.5,1.0,1.0,-7.042,8.506,7.182456956881508,1.117
31,True,950.3,2.0,1.0,-9.215,-9.628,-1242.7926443939004,1.097
32,True,290.5,0.0,0.0,-12.155,-8.734,158.97053258313838,0.851
33,True,244.2,0.0,1.0,-11.281,-8.638,-85.9667485324121,1.126
34,True,1019.7,2.0,1.0,-8.092,-11.534,179.56196361306667,1.127
35,True,1111.9,1.0,1.0,-9.907,-2.44,879.31718115096,0.595
36,True,1309.5,2.0,1.0,-5.954,-9.414,1470.8218822266276,0.805
37,True,279.40000000000003,1.0,1.0,-10.923,11.116,-245.0205539900575,1.165
38,False,204.0,1.0,1.0,-9.113,12.93,-359.1758615671214,1.11
39,True,74.7,2.0,1.0,-11.165,-10.414,36.85741853444382,1.111
40,True,381.3,1.0,0.0,-9.653,5.326,-912.7077752772726,0.766
41,True,1350.5,2.0,1.0,-5.972,-11.97,2681.905586302957,0.936
42,True,732.6999999999999,0.0,0.0,-13.738,-6.042,441.776312495906,0.984
43,True,124.7,2.0,0.0,-7.338,-13.96,64.10393292022566,1.129
44,True,90.7,1.0,1.0,-15.637,4.788,4.265160122025982,1.145
45,True,37.2,1.0,0.0,-12.881,2.47,66.73095074421212,0.904
46,True,752.2,0.0,1.0,-14.097,1.202,172.31897971555784,0.964
47,True,1185.9,0.0,1.0,-12.616,-13.448,-1521.376677487842,1.061
48,True,210.1,0.0,1.0,-11.626,-7.424,-387.76034916277723,1.177
49,True,145.39999999999998,0.0,1.0,-11.469,-6.996,87.54967716120538,1.187
50,True,26.3,0.0,0.0,-11.66,-10.4,2.481543522606045,0.979
51,True,83.5,1.0,1.0,-11.9,-0.75,31.957149390811082,1.166
52,False,205.8,2.0,0.0,-3.684,-12.92,99.1023906482519,0.743
53,True,488.8,2.0,0.0,-8.128,-5.062,-31.541746591075377,0.733
54,True,1234.7,2.0,1.0,-8.524,-12.812,-1833.638321537794,1.16
55,True,1046.2,2.0,0.0,-5.727,-12.18,-674.1498553245704,1.085
56,True,230.7,0.0,0.0,-17.754,-12.348,161.62428464552204,0.949
57,True,835.5,0.0,0.0,-12.806,-7.39,770.6826996570657,0.802
58,True,108.0,0.0,0.0,-11.914,-7.87,-29.483447206387616,0.755
59,True,424.4,1.0,1.0,-9.836,10.528,-168.88527745455087,0.937
60,True,598.9,2.0,0.0,-9.139,-12.158,839.9550336701426,0.27
61,True,576.5999999999999,1.0,1.0,-11.172,1.662,-366.498137817245,0.871
62,True,84.5,1.0,0.0,-6.239,5.368,183.23053086705954,0.807
63,True,1110.4,0.0,1.0,-13.08,-8.05,1159.022600376148,0.944
64,True,1325.1,1.0,0.0,-12.744,3.066,-216.75529524448186,0.957
65,True,168.79999999999998,0.0,0.0,-16.7,-5.194,-89.85746386481803,0.731
66,False,451.6,0.0,1.0,-14.866,-4.686,-781.3021548128265,0.948
67,True,472.5,1.0,0.0,-7.484,4.526,-690.4468283298917,0.777
68,False,515.9000000000001,1.0,0.0,-8.389,6.276,714.2739999545436,0.885
69,True,629.6,1.0,0.0,-9.592,-2.406,944.2141573006747,0.724
70,False,51.7,0.0,1.0,-15.33,-8.248,-6.012528246663315,0.853
71,True,1006.8,2.0,0.0,-8.11,-9.95,637.9137231273567,1.119
72,False,232.8,1.0,1.0,-8.32,-1.576,412.0045051974837,0.95
73,True,1040.6999999999998,0.0,1.0,-15.355,-4.494,2091.359390999695,1.138
74,True,368.7,1.0,1.0,-11.458,8.424,-525.909128888311,1.189
75,True,1100.6999999999998,0.0,1.0,-11.21,-6.776,-325.140912833635,1.101
76,True,522.9,2.0,0.0,-5.487,-13.684,757.3984455204034,0.825
77,True,721.0,0.0,1.0,-12.607,-8.782,-998.8354581649185,1.086
78,True,152.20000000000002,1.0,0.0,-8.644,4.272,-123.68505745347572,0.725
79,True,82.69999999999999,0.0,1.0,-14.276,-5.9,133.14031725790858,1.146
80,True,315.4,1.0,0.0,-11.473,2.47,723.3710369138072,0.657
81,True,451.9,1.0,1.0,-11.34,4.804,-220.51777143714426,1.1
82,True,217.1,1.0,1.0,-11.734,4.972,224.8486192916911,1.092
